First Name,Last Name,Email,Department,Employee Number
Alice,Smith,alice.smith@example.com,IT,HB-101
Bob,Johnson,bob.j@example.com,Engineering,HB-102
Charlie,Brown,charlie.b@example.com,Sales,HB-103
Diana,Prince,diana.p@example.com,Marketing,HB-104
Evan,Davis,evan.d@example.com,HR,HB-105
Fiona,Gallagher,fiona.g@example.com,IT,HB-106
George,Miller,george.m@example.com,Engineering,HB-107
Hannah,Abbott,hannah.a@example.com,Sales,HB-108
Ian,Wright,ian.w@example.com,Marketing,HB-109
Julia,Roberts,julia.r@example.com,HR,HB-110
